"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21"
-4,-6,-2,-5,-1,-5,-4,-6,-1,-2,-3,-6,-4,4,-6,-3,-3,-1,8,NA,NA
0,-3,-3,-3,-2,-3,-3,-2,-3,3,1,-4,1,-3,-2,-2,0,-8,-3,5,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.7,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,-0.1,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.6,-1.5,2.5,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.7,-0.4,-1.6,-3.7,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.7,2.5,0.1,0.6,-3.2,5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.7,-0.4,1.1,4.4,-4.7,2.1,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.8,-0.1,-0.1,0.8,-1.3,-1.6,0.5,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.1,1.8,1.4,0.1,-1.2,3.2,-0.2,-2.1,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.1,-3.8,-2.5,-4.2,-3.6,-3.8,-4.1,-3.4,-3.7,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.3,-3.2,-3.4,-5.3,-3.8,-2.4,-5,-4.6,-2.2,2.4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.9,4.3,1,-0.2,-2.8,2.5,0.9,-1.4,0.9,-3.8,-4.1,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.2,-3,-2.5,-4.3,-3.7,-3.1,-4.1,-3.7,-3.4,4,2.9,-2.9,4.8,NA,NA,NA,NA,NA,NA,NA,NA
-3.2,-4.9,-3.5,-5.7,-0.1,-4.4,-6.7,-5.7,0.1,0,2.4,-6.3,-0.1,8.3,NA,NA,NA,NA,NA,NA,NA
1.1,-1.3,-1.1,-2.8,-2.7,0.1,-2.6,-1.7,-0.4,-2,-0.2,-2.3,-1.8,-3.2,6.5,NA,NA,NA,NA,NA,NA
1.4,-0.9,1.2,-0.4,0.9,-1.4,-1.2,0.8,-0.9,-1.2,-1.5,-1.2,-1.3,-1.8,1.4,2.1,NA,NA,NA,NA,NA
1.7,-1.3,0.5,-1.2,-1.5,-1.7,-1.6,-0.5,-1.7,0.7,-0.4,-1.1,0.6,-2.4,0.6,1.5,2.4,NA,NA,NA,NA
-4.3,2,-4.4,-6.3,1.6,-2.6,-5.6,-1.7,-2.8,-5,-3,-1.4,-4.4,-1.6,-4.8,-2.9,-2.6,14.7,NA,NA,NA
-4,-2.6,-0.9,-2.3,2.6,-1.4,-4.1,-4.9,4.4,-3.3,-1.6,-4,-3.6,5.6,-3.8,-1.8,-3.4,-0.3,9.5,NA,NA
0.7,-3.7,-2.4,-3.3,-3.1,-3.5,-3,-2.3,-3.8,3.9,1.9,-3.8,3.3,-0.5,-1.6,-0.9,0.6,-4.8,-3.8,4,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0.4,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.2,-1,2.4,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.2,-1.6,-1.9,-3.7,12.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.9,2.2,0.5,0.6,-3.3,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.3,-0.1,1.2,3.9,-4.3,1.7,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.8,-0.7,0.4,0.7,-1.7,-1.4,0.5,6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.6,1.5,1.4,0.3,-1.5,2.4,-0.2,-2,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.4,-3.2,-2.7,-4,-2.4,-2.7,-3.6,-3.8,-3.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.7,-2.9,-3.5,-4.9,-2.6,-2,-4.4,-4.9,-2.1,2.7,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,3.9,1,0.2,-3.3,2.2,1,-1,0.8,-3,-3.3,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.8,-2.1,-2.6,-3.9,-2.5,-1.7,-3.4,-3.8,-2.4,3.1,3.2,-2,4.9,NA,NA,NA,NA,NA,NA,NA,NA
-3.1,-4.3,-3.5,-5.4,-0.1,-3.6,-5.7,-5.8,0.3,0.5,2.2,-5.1,0.7,7.7,NA,NA,NA,NA,NA,NA,NA
0.8,-1.2,-1.1,-1.8,-3.1,-0.1,-1.7,-1.8,-0.4,-2.3,-1.3,-1.6,-2,-3.4,7,NA,NA,NA,NA,NA,NA
1.3,-0.5,1.1,0.1,0.3,-0.6,-0.5,0.6,-0.5,-1.4,-2.1,-0.4,-1.5,-2.2,1.1,2,NA,NA,NA,NA,NA
1.4,-0.7,0.5,-0.7,-1.1,-0.7,-0.9,-0.7,-1.1,0.3,-1,-0.4,0.1,-2.6,0.4,1.5,2.5,NA,NA,NA,NA
-5.5,-1.1,-5.2,-6.4,0.5,-3.3,-6.3,-4.5,-2.7,-4.4,-1.8,-3.7,-2.8,0.5,-5.8,-3.9,-4.5,15.7,NA,NA,NA
-3.5,-2.7,-1.2,-3,0.6,-1.9,-4,-4.8,3.7,-2.2,-0.7,-3.6,-1.8,5.9,-3.5,-1.9,-3,1.5,9,NA,NA
0.4,-2.9,-2.3,-3,-1.7,-2.4,-2.7,-2.5,-3,3.6,2,-2.7,2.5,-0.1,-1.7,-0.9,0.4,-4.5,-2.6,3.7,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.8,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.2,0.3,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.3,-0.5,2.2,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.3,-2.2,-1.8,-3.2,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.3,1.6,0.7,0.8,-2.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.1,0.3,1,2.9,-3.2,1.7,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.6,-1,0.4,0.2,-2,-1.1,-0.5,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,1,1.2,0.4,-1.3,1.4,0.2,-1.6,6.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.8,-2.6,-2.8,-3.9,-1.2,-2,-2.9,-4.3,-2.3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.4,-2.4,-3.1,-4.2,-1.6,-1.7,-3.1,-4.6,-1.9,2.8,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.4,2.9,0.9,0.4,-2.9,1.7,1.2,-1.1,0.6,-2.3,-2.4,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.8,-1.8,-2.2,-3.2,-1.2,-1,-2.2,-3.5,-1.5,2.6,2.9,-1.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA
-2.6,-3.5,-3.2,-4.7,-0.7,-2.8,-4.3,-5.4,0,0.9,2.1,-3.6,1.3,7.2,NA,NA,NA,NA,NA,NA,NA
0.4,-1,-1,-1,-3.1,-0.2,-0.7,-1.7,-1,-2.6,-2.2,-0.8,-2.4,-3.8,7.5,NA,NA,NA,NA,NA,NA
1.1,-0.2,0.9,0.4,0.1,0.1,0.1,0.4,-0.3,-1.8,-2.2,0,-1.4,-2.6,0.5,2.1,NA,NA,NA,NA,NA
0.7,-0.3,0.4,-0.2,-0.6,-0.1,-0.2,-1,-0.5,-0.3,-1.1,0.1,-0.4,-2.2,0.1,1.4,2.5,NA,NA,NA,NA
-4.1,-1.6,-4,-5.5,-0.9,-2.8,-4.7,-4.1,-1,-2.3,-0.9,-3.6,-1.3,3,-5.2,-3.4,-3.7,14.7,NA,NA,NA
-2.6,-2,-1.4,-2.8,-0.4,-1.8,-3,-4.3,2.5,-1,-0.1,-2.4,-0.5,5.3,-3.4,-1.9,-2.1,3.6,8.1,NA,NA
0.1,-2.2,-2.2,-2.9,-0.2,-1.7,-2.1,-3.1,-2.1,3.2,1.9,-1.9,1.8,0.1,-1.9,-1,0.2,-2.9,-1.4,3.4,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.6,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.7,-1.5,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,-2.3,1.7,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.9,0.7,-1.5,-1.6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.1,0.3,0.4,0.3,-3.1,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.3,-2,0.3,3.8,-3,2,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.2,0.8,-2.6,1.1,1,-2.1,1.4,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.1,3.6,1.8,1.7,-1.6,3.6,0.3,-2.2,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.8,-1.2,0.9,-2.1,-1.9,-1.9,-2.3,-2.5,-1.8,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.3,-0.4,-2.2,-2.4,-1.3,0.1,-2.5,-2.2,-0.1,1.2,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.9,-0.2,3.5,0.3,-3.2,2.2,2,-2.2,0.6,0.7,-2,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2,-0.4,0.1,-2.5,-2.7,-1.2,-1.8,-2.3,-1.8,3.3,1.5,1.6,5.4,NA,NA,NA,NA,NA,NA,NA,NA
-2.4,-1.5,-1.3,-1.7,1.8,-2.1,-2.9,-1.9,-1.1,1.3,2.2,-2.8,0.5,4.5,NA,NA,NA,NA,NA,NA,NA
0.8,0.3,-1.6,-2.2,-1.9,1,-2.1,-1.8,0.7,-1.6,0,-1.5,-1.4,-1.8,3.8,NA,NA,NA,NA,NA,NA
0.1,0.3,-0.3,-2.1,1.5,-2.3,-2.8,-0.6,-1.6,-0.5,-1.2,-1.5,-1.3,0,0.4,2.6,NA,NA,NA,NA,NA
0.9,-0.6,0.9,-2.1,-1.9,-1.7,-2.1,-2.1,-1.8,0.8,-1.9,1,0.7,-2.1,1.1,1,4,NA,NA,NA,NA
-2.2,1.8,-3,-2.9,4.1,-2.3,-3.2,1.4,-2.1,-2.2,-0.3,-3,-2,0,-1.6,0.8,-2.2,7.5,NA,NA,NA
-2.4,-1.9,2.5,2.3,2.6,-0.8,-0.9,-1.8,2.3,-1.6,-1.6,-0.8,-2.9,2,-2.3,0.3,-2.1,-0.5,6.5,NA,NA
1,-2.1,-2.2,1,-2.2,-2,1.3,1.1,-2.1,1,1.1,-2.1,1,1,-2.1,-2.2,-2.2,-2.1,-2.2,4.1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.14,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.08,-0.01,0.56,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.04,-0.2,-0.14,-0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.01,0.57,0.2,0.19,-0.29,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.08,0.34,0.13,0.37,-0.51,0.51,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.11,-0.11,0.22,0.11,0.25,-0.13,-0.23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.11,0.13,0.32,0.22,0.18,0.05,-0.19,0.18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.1,-0.29,-0.37,-0.54,0.26,-0.43,-0.51,-0.22,-0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.2,-0.2,-0.39,-0.55,0.23,-0.3,-0.45,-0.14,-0.12,0.6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.07,0.47,0.22,0.18,-0.43,0.52,0.54,-0.23,-0.09,-0.4,-0.34,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.15,-0.17,-0.11,-0.25,0.1,-0.18,-0.14,-0.01,-0.19,0.36,0.38,-0.16,1,NA,NA,NA,NA,NA,NA,NA,NA
-0.25,-0.31,-0.33,-0.4,0.3,-0.44,-0.5,-0.09,-0.06,0.6,0.44,-0.41,0.22,1,NA,NA,NA,NA,NA,NA,NA
-0.07,-0.17,0.05,0.09,0.02,-0.03,-0.11,0.25,0.05,-0.19,-0.2,-0.17,-0.17,-0.12,1,NA,NA,NA,NA,NA,NA
0.14,-0.16,0.14,0.22,0.1,-0.06,-0.17,0.29,0.14,-0.27,-0.19,-0.24,-0.17,-0.01,0.27,1,NA,NA,NA,NA,NA
0.11,-0.32,0.13,0.23,0.14,-0.15,-0.27,-0.02,0.08,0,-0.04,-0.24,-0.02,0.02,0.2,0.45,1,NA,NA,NA,NA
-0.25,-0.03,-0.39,-0.41,0.18,-0.17,-0.22,-0.08,-0.11,0.36,0.22,-0.22,0.16,0.41,-0.13,-0.17,-0.12,1,NA,NA,NA
-0.36,-0.03,-0.27,-0.34,0.21,-0.28,-0.32,-0.24,0.08,0.43,0.17,-0.2,0.07,0.54,-0.23,-0.21,-0.14,0.43,1,NA,NA
0.06,-0.29,-0.46,-0.48,0.33,-0.38,-0.44,-0.12,-0.18,0.7,0.49,-0.36,0.23,0.47,-0.17,-0.18,0.07,0.29,0.31,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,-1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2,-4,-4,-5,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,1,1,2,-5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,-1,1,3,-5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,-3,0,1,-3,-1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,2,2,1,-3,3,1,-2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,-2,-2,-2,-2,-2,-2,-3,-2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2,-3,-3,-4,-6,-2,-3,-4,-2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,3,1,0,-5,1,0,-2,0,-2,-3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1,0,-2,-3,-5,-1,-2,-3,-2,2,4,0,6,NA,NA,NA,NA,NA,NA,NA,NA
-4,-4,-4,-6,-4,-5,-5,-5,-2,1,2,-5,0,9,NA,NA,NA,NA,NA,NA,NA
1,0,-1,-1,-3,0,-1,-1,0,-2,-3,-1,-2,-5,6,NA,NA,NA,NA,NA,NA
1,0,1,0,0,-1,0,1,-1,-1,-3,0,-2,-3,1,2,NA,NA,NA,NA,NA
1,-1,0,0,-2,-1,0,0,-1,0,-2,0,-1,-3,0,1,3,NA,NA,NA,NA
-6,2,-4,-7,-8,-5,-7,-7,-3,-5,-2,-3,-4,0,-6,-2,-5,17,NA,NA,NA
-3,-4,-2,-4,0,-4,-4,-5,0,-1,-1,-4,-2,7,-5,-3,-3,0,10,NA,NA
0,-2,-2,-2,-2,-2,-2,-1,-2,4,2,-2,2,-1,-1,-1,0,-6,-2,4,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,3,3,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,3,5,0,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,3,3,4,3,2,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,4,4,3,2,4,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,2,1,2,1,1,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,1,1,2,2,1,2,3,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,5,4,3,0,4,4,2,3,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,1,0,2,2,1,1,1,4,5,2,6,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,1,3,1,0,1,2,4,4,0,2,6,NA,NA,NA,NA,NA,NA,NA
5,3,2,2,2,3,3,3,3,2,3,2,2,2,6,NA,NA,NA,NA,NA,NA
5,3,5,3,4,3,3,5,3,2,2,3,1,3,4,6,NA,NA,NA,NA,NA
5,3,4,2,2,3,3,2,2,3,2,4,3,1,4,5,6,NA,NA,NA,NA
2,2,0,0,3,1,1,3,1,2,4,1,3,3,2,2,1,6,NA,NA,NA
2,1,3,2,3,2,1,2,3,3,3,1,2,5,2,3,2,3,6,NA,NA
5,2,2,3,2,2,4,4,1,5,5,3,4,4,3,2,3,3,3,6,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,2,1,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,2,1,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,1,2,1,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2,1,2,2,3,3,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,2,2,1,2,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,2,3,1,1,2,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,2,3,3,2,2,2,3,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2,2,2,2,1,2,3,2,2,1,1,3,2,0,NA,NA,NA,NA,NA,NA,NA
1,1,2,2,2,1,2,2,1,2,1,2,2,2,0,NA,NA,NA,NA,NA,NA
1,1,1,2,1,1,2,1,2,1,1,2,2,1,1,0,NA,NA,NA,NA,NA
1,1,1,2,2,2,2,2,2,1,2,1,1,2,1,1,0,NA,NA,NA,NA
2,1,3,3,1,1,2,1,3,3,1,2,2,2,2,1,2,0,NA,NA,NA
2,2,1,1,1,1,2,2,1,2,2,2,3,1,2,1,2,2,0,NA,NA
1,2,2,1,1,2,1,1,2,1,1,2,1,1,2,2,2,2,2,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,9,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,4,8,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,6,10,6,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,9,6,10,5,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,5,10,6,8,10,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,5,9,5,9,9,5,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,3,7,3,9,7,3,7,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,3,7,3,9,7,3,7,8,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,10,6,9,4,6,9,5,5,3,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,3,8,4,10,8,4,8,9,9,9,3,10,NA,NA,NA,NA,NA,NA,NA,NA
7,1,6,2,8,6,2,6,7,9,9,1,8,10,NA,NA,NA,NA,NA,NA,NA
9,3,8,4,9,8,4,8,9,9,9,3,10,8,10,NA,NA,NA,NA,NA,NA
9,6,10,7,8,10,7,10,9,7,7,6,8,6,7,10,NA,NA,NA,NA,NA
10,5,9,5,9,9,5,9,10,8,8,5,9,7,8,9,10,NA,NA,NA,NA
5,0,4,1,6,4,1,5,5,8,8,0,7,9,7,4,5,10,NA,NA,NA
7,2,6,3,8,6,3,6,7,9,9,2,8,10,9,6,7,8,10,NA,NA
8,3,7,4,9,7,4,8,8,10,10,3,10,8,10,7,8,7,9,10,NA
